City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
307,Hirara,JP,84.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
309,Bengkulu,ID,79.48,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
311,Komsomolskiy,UZ,79.52,clear sky,40.4272,71.7189,Ikathouse
312,Wainwright,CA,79.88,scattered clouds,52.839,-110.8572,Ramada by Wyndham Wainwright
315,Nador,MA,75.45,clear sky,35.174,-2.9287,Hôtel La Giralda
318,Ixtapa,MX,84.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
321,Morehead,US,75.99,scattered clouds,37.2711,-87.1764,CCI Express Inn
322,Sur,OM,86.95,broken clouds,22.5667,59.5289,Sur Plaza Hotel
324,Harper,LR,76.41,light rain,4.375,-7.7169,Screensaver
326,Seoul,KR,88.99,mist,37.5683,126.9778,롯데호텔 서울
327,Mandal,IN,75.97,overcast clouds,25.45,74.5667,पीपी वाले हनुमान जी
329,Fortuna,US,80.19,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
330,Bandarbeyla,SO,75.69,broken clouds,9.4942,50.8122,JABIR HOTEL
336,Awjilah,LY,83.48,clear sky,29.1081,21.2869,
337,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
338,San Policarpo,PH,89.33,overcast clouds,12.1791,125.5072,JM Lodge
341,Pingdu,CN,85.44,light rain,36.7844,119.9464,Dongfang Hotel
343,Xinmin,CN,89.29,scattered clouds,41.9908,122.8253,Agricultural Machinery Hotel
344,Isangel,VU,75.31,few clouds,-19.55,169.2667,Tanna Lodge
347,Sarankhola,BD,83.73,light rain,22.3082,89.7897,SDC Cyclone Shelter Fokirbari Shonatola
350,Tiznit,MA,77.36,clear sky,29.5833,-9.5,
352,Tukrah,LY,79.14,clear sky,32.5341,20.5791,Lokta restaurant
356,Pathein,MM,79.48,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
358,Johnson City,US,76.77,overcast clouds,36.3134,-82.3535,Hampton Inn Johnson City
