City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
382,Nelson Bay,AU,-32.7167,152.15,79.09,51,2,10.56,clear sky
383,Volchikha,RU,52.0333,80.3833,79.7,21,9,7.07,clear sky
384,Pangody,RU,65.85,74.4859,58.41,59,96,10.31,overcast clouds
385,Chifeng,CN,42.2683,118.9636,68.58,68,100,14.27,overcast clouds
386,Nuuk,GL,64.1835,-51.7216,48.81,81,92,5.75,overcast clouds
387,Georgiyevka,KZ,43.0369,74.7114,73.44,38,0,4.47,clear sky
388,Linhares,BR,-19.3911,-40.0722,64.8,74,84,5.68,broken clouds
389,Banda Aceh,ID,5.5577,95.3222,84.7,66,100,15.95,overcast clouds
390,Markova,UA,48.6758,24.4138,59.85,85,0,4.54,clear sky
391,Srivardhan,IN,18.0333,73.0167,81.28,82,100,15.46,light rain
392,Port Elizabeth,ZA,-33.918,25.5701,58.62,40,77,6.71,broken clouds
393,Kindu,CD,-2.95,25.95,68.5,48,95,3.04,overcast clouds
394,Kaitangata,NZ,-46.2817,169.8464,48.96,98,100,1.54,overcast clouds
395,Sept-Iles,CA,50.2001,-66.3821,60.06,83,100,5.01,overcast clouds
396,Bar Harbor,US,44.3876,-68.2039,60.91,84,1,0.0,clear sky
397,Parati,BR,-23.2178,-44.7131,57.65,94,71,2.89,broken clouds
398,Vila Velha,BR,-20.3297,-40.2925,62.55,94,90,2.3,overcast clouds
399,High Prairie,CA,55.4334,-116.4858,77.09,50,30,6.8,scattered clouds
400,Tabas,IR,33.5959,56.9244,86.9,13,6,2.21,clear sky
401,Mehamn,NO,71.0357,27.8492,47.17,96,100,3.44,overcast clouds
402,Yertsevo,RU,60.7966,40.086,55.44,95,94,7.18,overcast clouds
403,Kargasok,RU,59.0556,80.8572,55.99,90,100,6.08,overcast clouds
404,Okha,RU,53.5739,142.9478,56.62,72,94,6.49,overcast clouds
405,Naliya,IN,23.2667,68.8333,82.92,77,100,24.74,overcast clouds
406,Rawah,IQ,34.4816,41.9093,88.18,22,0,7.96,clear sky
407,Sola,VU,-13.8833,167.55,76.26,66,68,12.28,broken clouds
408,Bamako,ML,12.65,-8.0,73.94,91,100,5.21,light rain
409,Caravelas,BR,-17.7125,-39.2481,67.19,78,68,10.89,broken clouds
410,Iqaluit,CA,63.7506,-68.5145,60.53,44,90,13.8,overcast clouds
411,Pesqueira,BR,-8.3578,-36.6964,65.95,87,100,13.58,overcast clouds
412,Axim,GH,4.8699,-2.2405,75.58,89,98,5.57,overcast clouds
